
   INFO  Server running on [http://127.0.0.1:8007].  

  Press Ctrl+C to stop the server
  2026-07-14 21:51:45 /login ............................................................................... ~ 0.55ms
  2026-07-14 21:51:45 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.29ms
  2026-07-14 21:51:45 /build/assets/app-BDwipKSs.css ....................................................... ~ 1.67ms
  2026-07-14 21:51:45 /build/assets/app-DNchKTCw.js ........................................................ ~ 2.87ms
  2026-07-14 21:51:45 /build/assets/space-grotesk-latin-wght-normal-BhU9QXUp.woff2 ......................... ~ 0.30ms
  2026-07-14 21:51:45 /build/assets/Phosphor-DtdjzkpE.woff2 ................................................ ~ 1.17ms
  2026-07-14 21:51:45 /favicon.ico ......................................................................... ~ 0.26ms
  2026-07-14 21:51:47 /login ............................................................................. ~ 514.50ms
  2026-07-14 21:51:47 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.30ms
  2026-07-14 21:51:47 /build/assets/app-BDwipKSs.css ....................................................... ~ 2.01ms
  2026-07-14 21:51:47 /build/assets/app-DNchKTCw.js ........................................................ ~ 1.90ms
  2026-07-14 21:51:47 /build/assets/space-grotesk-latin-wght-normal-BhU9QXUp.woff2 ......................... ~ 0.28ms
  2026-07-14 21:51:47 /build/assets/Phosphor-DtdjzkpE.woff2 ................................................ ~ 0.24ms
  2026-07-14 21:51:47 /favicon.ico ......................................................................... ~ 0.23ms
  2026-07-14 21:51:47 /livewire/update ................................................................... ~ 502.76ms
  2026-07-14 21:51:48 /dashboard ......................................................................... ~ 513.17ms
  2026-07-14 21:51:48 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.30ms
  2026-07-14 21:51:48 /build/assets/app-BDwipKSs.css ....................................................... ~ 1.84ms
  2026-07-14 21:51:48 /build/assets/jetbrains-mono-latin-wght-normal-B9CIFXIH.woff2 ........................ ~ 0.32ms
  2026-07-14 21:51:48 /favicon.ico ......................................................................... ~ 0.26ms
  2026-07-14 21:51:50 /dashboard ........................................................................... ~ 2.17ms
  2026-07-14 21:51:50 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.47ms
  2026-07-14 21:51:50 /build/assets/app-BDwipKSs.css ....................................................... ~ 0.35ms
